amount,client_time,category,device
39,1393662264,Technology,iOS
41,1393662354,Technology,iOS
38,1393662445,Sports,android
38,1393662534,Technology,iOS
22,1393662562,Sports,android
29,1393662606,Sports,android
52,1393662988,Games,iOS
60,1393663394,Games,android
47,1393663469,Games,iOS
42,1393663737,Games,android
46,1393663770,Fashion,android
49,1393663973,Sports,iOS
28,1393664183,Sports,iOS
29,1393664331,Technology,android
70,1393664389,Fashion,android
40,1393664420,Games,iOS
34,1393664675,Games,android
49,1393664707,Fashion,iOS
36,1393664733,Sports,iOS
31,1393664765,Technology,iOS
69,1393664919,Sports,iOS
47,1393665043,Games,iOS
50,1393665304,Environment,iOS
52,1393665529,Environment,android
53,1393665604,Games,iOS
64,1393665908,Technology,android
54,1393665954,Technology,iOS
37,1393665968,Fashion,iOS
41,1393666300,Games,iOS
1,1393666357,Fashion,iOS
30,1393666375,Sports,android
62,1393666382,Sports,iOS
6,1393666444,Sports,iOS
39,1393666522,Environment,android
45,1393666554,Environment,android
35,1393666646,Sports,android
62,1393666889,Fashion,android
38,1393666978,Sports,android
44,1393667021,Environment,android
22,1393667087,Games,android
35,1393667198,Environment,iOS
31,1393667261,Games,iOS
30,1393667377,Environment,iOS
43,1393667412,Games,iOS
48,1393667684,Fashion,android
36,1393667720,Technology,iOS
35,1393667725,Fashion,iOS
30,1393667899,Fashion,android
30,1393667939,Sports,iOS
36,1393668036,Sports,iOS
42,1393668154,Games,iOS
8,1393668408,Environment,android
33,1393668462,Environment,iOS
30,1393668502,Sports,android
63,1393668529,Environment,iOS
33,1393668563,Technology,android
47,1393668673,Environment,iOS
56,1393669074,Games,iOS
31,1393669125,Games,iOS
57,1393669177,Fashion,iOS
35,1393669365,Environment,iOS
54,1393669437,Sports,iOS
53,1393669623,Fashion,iOS
54,1393669840,Fashion,android
62,1393670173,Environment,iOS
55,1393670317,Fashion,iOS
76,1393670423,Technology,iOS
48,1393670481,Fashion,android
46,1393670499,Games,iOS
10,1393670660,Games,iOS
46,1393670673,Sports,iOS
24,1393670719,Sports,iOS
65,1393670852,Technology,android
33,1393670907,Environment,iOS
53,1393671051,Technology,android
31,1393671078,Technology,iOS
32,1393671183,Technology,iOS
49,1393671195,Technology,iOS
44,1393671216,Fashion,iOS
56,1393671298,Sports,android
36,1393671357,Technology,android
37,1393671681,Sports,iOS
6,1393671715,Sports,android
58,1393671830,Technology,iOS
43,1393671861,Sports,iOS
1,1393672729,Fashion,android
26,1393672847,Fashion,android
43,1393672877,Sports,iOS
42,1393672970,Environment,iOS
58,1393673043,Games,android
35,1393673241,Technology,iOS
55,1393673260,Technology,android
39,1393673281,Environment,iOS
41,1393673318,Sports,android
31,1393673353,Games,iOS
75,1393673578,Games,android
36,1393673627,Sports,iOS
35,1393673773,Games,iOS
49,1393673781,Sports,android
39,1393673852,Sports,iOS
49,1393673985,Sports,iOS
29,1393674241,Environment,iOS
49,1393674251,Sports,android
38,1393674443,Technology,android
52,1393674469,Technology,android
27,1393674536,Fashion,android
44,1393675221,Games,iOS
27,1393675397,Fashion,iOS
7,1393675752,Games,iOS
51,1393675913,Games,android
18,1393675937,Games,iOS
29,1393676002,Sports,iOS
23,1393676348,Fashion,android
37,1393676579,Sports,android
35,1393676632,Technology,iOS
47,1393676836,Fashion,android
37,1393677306,Games,iOS
47,1393677413,Sports,android
15,1393677568,Fashion,android
25,1393677577,Sports,iOS
47,1393677612,Sports,iOS
43,1393677866,Sports,android
31,1393677908,Environment,android
73,1393678013,Technology,android
27,1393678375,Technology,iOS
41,1393678638,Technology,iOS
52,1393678678,Sports,android
26,1393678850,Technology,iOS
28,1393678908,Environment,iOS
53,1393678922,Environment,android
19,1393678959,Fashion,iOS
35,1393678973,Sports,iOS
45,1393679000,Environment,iOS
34,1393679058,Environment,iOS
69,1393679105,Sports,iOS
33,1393679343,Technology,iOS
28,1393679369,Fashion,android
11,1393679514,Sports,iOS
45,1393679611,Sports,android
24,1393679794,Games,android
38,1393679952,Technology,iOS
55,1393680231,Environment,android
15,1393680237,Games,iOS
32,1393680340,Sports,iOS
42,1393680929,Technology,iOS
63,1393681572,Technology,iOS
35,1393681685,Fashion,iOS
51,1393681952,Fashion,iOS
37,1393682023,Technology,iOS
46,1393682127,Games,iOS
30,1393682178,Fashion,iOS
37,1393682204,Sports,iOS
19,1393682282,Technology,android
42,1393682345,Sports,iOS
5,1393682368,Sports,iOS
71,1393682527,Sports,iOS
42,1393682660,Games,android
50,1393682673,Games,android
30,1393682765,Technology,iOS
39,1393682795,Games,iOS
27,1393682970,Fashion,android
60,1393683099,Environment,android
42,1393683149,Environment,iOS
46,1393683222,Environment,android
24,1393683263,Fashion,android
62,1393683346,Fashion,android
66,1393683420,Fashion,iOS
47,1393683438,Fashion,iOS
48,1393683573,Environment,android
46,1393683878,Sports,iOS
63,1393683882,Sports,iOS
64,1393683899,Technology,android
44,1393683970,Games,iOS
24,1393684063,Environment,iOS
41,1393684300,Environment,iOS
36,1393684426,Games,android
51,1393684433,Technology,iOS
45,1393684497,Environment,iOS
36,1393684626,Fashion,iOS
59,1393684704,Sports,iOS
41,1393684719,Sports,android
12,1393684837,Environment,iOS
28,1393685189,Environment,iOS
39,1393685282,Fashion,iOS
25,1393685329,Games,iOS
34,1393685329,Environment,iOS
31,1393685535,Fashion,iOS
31,1393685694,Environment,android
61,1393685855,Fashion,iOS
51,1393686086,Games,android
21,1393686382,Sports,iOS
39,1393686620,Technology,iOS
36,1393686779,Environment,iOS
37,1393686970,Games,iOS
36,1393687045,Sports,android
35,1393687116,Technology,iOS
42,1393687220,Fashion,iOS
42,1393687402,Games,android
60,1393687404,Games,android
42,1393687756,Fashion,iOS
24,1393687816,Technology,android
27,1393688120,Technology,android
40,1393688358,Games,iOS
32,1393688401,Environment,iOS
48,1393688402,Games,iOS
79,1393688433,Sports,iOS
27,1393688519,Fashion,iOS
35,1393688531,Environment,iOS
28,1393688762,Technology,android
41,1393688807,Sports,iOS
44,1393688917,Environment,iOS
35,1393689205,Environment,iOS
34,1393689315,Environment,iOS
61,1393689698,Technology,iOS
40,1393689854,Games,iOS
27,1393690068,Sports,iOS
29,1393690498,Games,android
30,1393690518,Sports,android
28,1393690653,Sports,android
42,1393691028,Fashion,iOS
47,1393691170,Technology,iOS
55,1393691277,Games,android
53,1393691364,Technology,android
40,1393691466,Fashion,iOS
46,1393691551,Sports,iOS
33,1393691728,Games,iOS
22,1393691849,Games,android
46,1393691930,Technology,iOS
33,1393692026,Fashion,android
72,1393692035,Environment,iOS
53,1393692045,Games,android
16,1393692135,Sports,android
14,1393692243,Environment,iOS
16,1393692248,Technology,android
21,1393692260,Environment,iOS
21,1393692290,Games,iOS
26,1393692488,Environment,iOS
19,1393692522,Fashion,android
50,1393692559,Environment,android
65,1393692760,Technology,android
21,1393693002,Sports,android
53,1393693236,Technology,android
41,1393693256,Games,iOS
47,1393693300,Technology,android
41,1393693397,Environment,iOS
32,1393693622,Sports,iOS
42,1393693661,Games,iOS
50,1393693765,Environment,iOS
26,1393693951,Sports,android
37,1393694068,Sports,iOS
38,1393694235,Sports,android
43,1393694463,Fashion,android
35,1393694748,Environment,android
81,1393694761,Fashion,android
68,1393694791,Technology,iOS
19,1393694877,Technology,android
35,1393694998,Games,android
59,1393695642,Technology,android
31,1393695818,Environment,iOS
52,1393695856,Sports,iOS
39,1393696230,Sports,iOS
19,1393696246,Environment,android
40,1393696277,Environment,iOS
37,1393696281,Environment,iOS
47,1393696329,Games,android
56,1393697129,Fashion,android
54,1393697171,Technology,iOS
78,1393697176,Environment,iOS
47,1393697353,Environment,iOS
15,1393697416,Games,android
33,1393697473,Sports,android
7,1393697782,Technology,android
36,1393697901,Technology,android
30,1393698008,Fashion,android
34,1393698082,Fashion,iOS
1,1393698411,Games,iOS
51,1393698430,Fashion,android
22,1393698764,Games,iOS
58,1393698836,Technology,android
32,1393699190,Technology,android
47,1393699298,Fashion,android
61,1393699493,Environment,iOS
57,1393699527,Games,iOS
37,1393699809,Games,iOS
46,1393699875,Environment,iOS
20,1393699990,Sports,iOS
21,1393700223,Environment,android
12,1393700279,Games,iOS
31,1393700340,Environment,iOS
15,1393700380,Environment,android
12,1393700469,Games,android
33,1393700555,Fashion,iOS
42,1393700562,Fashion,iOS
40,1393700665,Sports,iOS
37,1393700673,Games,android
34,1393700736,Fashion,iOS
58,1393700881,Sports,iOS
39,1393701082,Sports,android
46,1393701650,Games,android
34,1393701691,Fashion,iOS
46,1393701821,Sports,iOS
27,1393701837,Sports,android
48,1393701917,Sports,android
41,1393702300,Fashion,iOS
27,1393702316,Environment,android
44,1393702383,Fashion,android
50,1393702506,Technology,iOS
44,1393702539,Games,iOS
64,1393702598,Sports,iOS
13,1393702707,Fashion,iOS
43,1393702817,Games,iOS
70,1393702821,Fashion,iOS
27,1393702845,Environment,android
52,1393702966,Games,iOS
39,1393703571,Technology,iOS
41,1393703949,Fashion,iOS
40,1393704168,Environment,iOS
47,1393704171,Fashion,iOS
34,1393704235,Sports,android
41,1393704790,Fashion,iOS
52,1393704819,Games,iOS
27,1393704846,Technology,android
38,1393704968,Games,iOS
36,1393704984,Fashion,iOS
29,1393705020,Sports,iOS
48,1393705050,Games,iOS
10,1393705203,Environment,iOS
36,1393705221,Games,iOS
63,1393705339,Environment,iOS
42,1393705431,Sports,android
46,1393705529,Fashion,android
24,1393705657,Environment,iOS
27,1393705657,Sports,iOS
41,1393705752,Games,iOS
59,1393705929,Fashion,android
60,1393706048,Games,iOS
44,1393706078,Sports,android
57,1393706160,Sports,android
29,1393706238,Sports,iOS
38,1393706338,Games,android
28,1393706345,Environment,iOS
37,1393706511,Games,iOS
51,1393706859,Sports,iOS
67,1393706958,Games,iOS
36,1393706966,Sports,iOS
43,1393707012,Games,iOS
21,1393707093,Technology,android
50,1393707116,Technology,android
35,1393707238,Environment,iOS
51,1393707246,Technology,iOS
41,1393707373,Environment,android
38,1393707401,Environment,iOS
51,1393707482,Games,android
25,1393707698,Games,android
1,1393707702,Fashion,iOS
33,1393707778,Sports,iOS
30,1393708165,Technology,iOS
54,1393708327,Environment,android
23,1393708401,Sports,iOS
38,1393708476,Environment,iOS
37,1393708566,Fashion,iOS
47,1393708704,Fashion,iOS
35,1393709015,Games,android
34,1393709464,Environment,iOS
60,1393709527,Environment,android
52,1393709530,Games,iOS
10,1393709625,Technology,android
46,1393709694,Fashion,android
9,1393709821,Sports,android
40,1393710234,Fashion,iOS
30,1393710417,Fashion,android
49,1393710999,Fashion,iOS
53,1393711144,Environment,iOS
40,1393711302,Fashion,iOS
35,1393711491,Games,android
54,1393711678,Sports,iOS
64,1393711797,Sports,iOS
61,1393711862,Environment,android
50,1393712059,Fashion,iOS
47,1393712097,Technology,iOS
45,1393712211,Environment,iOS
27,1393712375,Sports,iOS
15,1393712439,Games,iOS
37,1393712447,Environment,iOS
54,1393712469,Games,iOS
22,1393712486,Fashion,iOS
51,1393712532,Technology,iOS
43,1393712897,Technology,iOS
47,1393712909,Games,iOS
21,1393713162,Environment,android
54,1393713254,Fashion,android
49,1393713399,Fashion,iOS
17,1393713643,Environment,android
18,1393713716,Environment,android
73,1393713828,Games,iOS
46,1393713953,Fashion,iOS
46,1393714006,Technology,iOS
64,1393714115,Fashion,iOS
25,1393714203,Games,android
38,1393714311,Environment,iOS
48,1393714746,Fashion,iOS
9,1393714790,Games,iOS
9,1393714790,Games,iOS
27,1393715003,Games,iOS
42,1393715181,Sports,android
20,1393715538,Technology,iOS
73,1393715617,Games,android
21,1393715625,Games,iOS
47,1393715920,Environment,iOS
38,1393715932,Games,iOS
31,1393716039,Environment,android
44,1393716160,Environment,iOS
52,1393716210,Fashion,android
73,1393716236,Technology,iOS
52,1393716269,Environment,iOS
62,1393716324,Sports,android
12,1393716821,Fashion,iOS
37,1393717041,Games,iOS
53,1393717067,Fashion,android
41,1393717229,Games,iOS
29,1393717273,Games,iOS
16,1393717428,Technology,android
14,1393717543,Sports,iOS
21,1393717673,Sports,iOS
8,1393717837,Technology,iOS
37,1393717964,Sports,android
53,1393718461,Fashion,android
36,1393718609,Fashion,iOS
54,1393718677,Games,iOS
37,1393718834,Sports,android
17,1393719148,Technology,android
46,1393719493,Technology,android
35,1393719611,Environment,android
48,1393719747,Games,android
29,1393719785,Technology,android
52,1393719865,Fashion,iOS
41,1393720079,Technology,iOS
37,1393720121,Sports,iOS
39,1393720154,Sports,iOS
46,1393720253,Games,android
43,1393720261,Sports,iOS
45,1393720313,Games,iOS
58,1393720354,Sports,android
21,1393720398,Environment,iOS
11,1393720552,Environment,iOS
9,1393720758,Environment,android
62,1393721035,Environment,iOS
34,1393721089,Sports,iOS
55,1393721149,Sports,android
18,1393721304,Sports,iOS
20,1393721332,Sports,iOS
49,1393721369,Fashion,iOS
44,1393721400,Sports,iOS
32,1393721405,Environment,android
31,1393721486,Games,iOS
28,1393721561,Environment,iOS
36,1393721804,Games,android
28,1393721913,Environment,iOS
42,1393721970,Games,android
49,1393722023,Fashion,android
41,1393722410,Fashion,android
23,1393722625,Technology,android
76,1393722877,Sports,iOS
21,1393722976,Environment,iOS
49,1393722989,Technology,iOS
32,1393723035,Technology,iOS
16,1393723131,Games,iOS
37,1393723342,Fashion,iOS
57,1393723656,Technology,android
14,1393723702,Fashion,iOS
56,1393724102,Technology,iOS
25,1393724141,Sports,android
29,1393724143,Fashion,android
30,1393724206,Environment,android
43,1393724327,Sports,iOS
49,1393724413,Sports,iOS
51,1393724752,Games,iOS
35,1393724760,Technology,iOS
43,1393724802,Sports,android
12,1393724891,Games,iOS
38,1393724961,Games,iOS
48,1393724971,Games,iOS
39,1393725047,Fashion,iOS
29,1393725086,Technology,iOS
43,1393725115,Sports,iOS
23,1393725144,Technology,iOS
43,1393725362,Fashion,android
69,1393725414,Technology,android
29,1393725539,Environment,iOS
45,1393725553,Environment,iOS
11,1393725615,Sports,iOS
14,1393725661,Sports,android
56,1393725878,Environment,iOS
58,1393726012,Environment,android
51,1393726132,Technology,android
17,1393726577,Technology,android
35,1393726799,Games,iOS
35,1393726981,Technology,iOS
33,1393726984,Environment,android
41,1393727020,Environment,iOS
29,1393727268,Sports,android
51,1393727297,Technology,iOS
22,1393727509,Games,android
60,1393727791,Games,iOS
38,1393727865,Sports,android
49,1393727927,Environment,android
11,1393728060,Environment,iOS
15,1393728130,Fashion,iOS
47,1393728159,Fashion,iOS
38,1393728257,Environment,android
48,1393728309,Technology,iOS
15,1393728412,Environment,android
48,1393728465,Games,iOS
33,1393728538,Sports,android
47,1393728836,Fashion,android
40,1393728962,Technology,android
6,1393729012,Sports,iOS
15,1393729535,Environment,iOS
32,1393729551,Fashion,iOS
58,1393729649,Games,iOS
28,1393729652,Fashion,iOS
28,1393729666,Sports,iOS
39,1393729671,Environment,android
33,1393729681,Environment,iOS
60,1393729747,Games,iOS
35,1393730109,Games,iOS
42,1393730416,Technology,iOS
38,1393730442,Technology,android
31,1393730472,Technology,iOS
43,1393730744,Games,android
54,1393730800,Environment,android
46,1393730825,Games,iOS
43,1393730900,Games,iOS
48,1393731147,Environment,iOS
25,1393731289,Technology,iOS
38,1393731324,Sports,android
55,1393731340,Technology,android
40,1393731475,Games,android
35,1393731575,Technology,iOS
39,1393731624,Environment,iOS
72,1393732015,Environment,android
45,1393732018,Sports,iOS
37,1393732019,Fashion,iOS
47,1393732085,Environment,iOS
37,1393732171,Technology,iOS
30,1393732300,Games,android
22,1393732372,Technology,android
36,1393732448,Technology,android
37,1393732463,Sports,android
26,1393732489,Fashion,iOS
26,1393732621,Technology,android
52,1393732714,Environment,iOS
20,1393732735,Environment,iOS
30,1393732898,Technology,iOS
36,1393733135,Fashion,android
52,1393733193,Fashion,iOS
21,1393733263,Technology,android
34,1393733382,Games,android
36,1393733750,Technology,android
16,1393733921,Games,iOS
52,1393733984,Games,android
28,1393734028,Sports,iOS
47,1393734340,Technology,iOS
21,1393734392,Technology,android
39,1393734400,Games,iOS
23,1393734428,Fashion,android
50,1393734674,Technology,android
52,1393734778,Games,android
55,1393734791,Technology,iOS
16,1393734820,Technology,iOS
35,1393734870,Environment,android
44,1393734875,Fashion,iOS
73,1393734903,Fashion,iOS
49,1393734944,Games,iOS
40,1393735079,Sports,iOS
45,1393735201,Environment,iOS
62,1393735269,Fashion,iOS
51,1393735513,Sports,iOS
39,1393735804,Games,iOS
32,1393735881,Sports,android
28,1393735985,Environment,android
50,1393735988,Games,android
40,1393736100,Fashion,iOS
43,1393736142,Sports,iOS
41,1393736202,Environment,iOS
36,1393736208,Games,iOS
27,1393736320,Technology,iOS
11,1393736329,Fashion,android
59,1393736436,Games,android
63,1393736554,Sports,iOS
54,1393736666,Games,iOS
27,1393736719,Technology,iOS
41,1393736819,Games,iOS
35,1393737360,Technology,iOS
46,1393737364,Sports,iOS
48,1393737403,Games,iOS
55,1393737463,Sports,android
41,1393737480,Sports,android
12,1393737532,Games,iOS
5,1393737963,Fashion,iOS
65,1393738315,Sports,android
47,1393738324,Environment,iOS
46,1393738334,Sports,iOS
39,1393738366,Fashion,android
41,1393738386,Sports,android
45,1393738410,Games,iOS
40,1393738431,Technology,android
30,1393738508,Sports,android
34,1393738602,Technology,iOS
24,1393738640,Games,android
55,1393738674,Games,android
38,1393738768,Technology,android
64,1393739088,Technology,android
58,1393739096,Fashion,iOS
44,1393739150,Sports,android
48,1393739194,Technology,iOS
38,1393739283,Sports,android
55,1393739335,Fashion,iOS
40,1393739647,Environment,android
45,1393739719,Sports,android
41,1393739841,Environment,android
20,1393739899,Technology,iOS
45,1393739912,Technology,android
20,1393740282,Fashion,iOS
45,1393740353,Games,iOS
30,1393740381,Environment,android
23,1393740467,Technology,android
32,1393740666,Games,iOS
49,1393740671,Environment,android
49,1393740760,Sports,android
12,1393740795,Sports,android
37,1393740976,Games,iOS
15,1393740990,Fashion,android
38,1393741418,Environment,iOS
61,1393741628,Sports,iOS
41,1393741709,Technology,android
16,1393741729,Technology,iOS
69,1393741932,Environment,android
19,1393741983,Games,iOS
44,1393742060,Technology,android
44,1393742450,Fashion,android
30,1393742496,Fashion,iOS
43,1393742857,Sports,iOS
10,1393743313,Fashion,iOS
33,1393743488,Environment,android
9,1393743644,Sports,iOS
35,1393743745,Technology,iOS
54,1393743759,Technology,iOS
71,1393743767,Technology,iOS
57,1393743874,Sports,iOS
62,1393743924,Fashion,iOS
51,1393744046,Games,iOS
19,1393744178,Technology,iOS
55,1393744309,Sports,iOS
36,1393744363,Environment,iOS
9,1393744589,Games,android
40,1393744803,Environment,android
43,1393745096,Environment,android
28,1393745252,Fashion,iOS
41,1393745366,Sports,iOS
70,1393745524,Technology,iOS
27,1393745655,Sports,iOS
25,1393745882,Technology,android
73,1393745990,Games,iOS
39,1393746037,Games,iOS
54,1393746150,Games,android
49,1393746262,Games,iOS
30,1393746385,Technology,iOS
50,1393746434,Technology,android
24,1393746663,Sports,iOS
51,1393746692,Games,iOS
40,1393746809,Environment,iOS
50,1393746844,Technology,iOS
25,1393746963,Technology,android
33,1393747077,Technology,iOS
15,1393747092,Games,android
37,1393747116,Games,iOS
31,1393747293,Fashion,android
37,1393747320,Games,android
46,1393747438,Environment,iOS
28,1393747625,Fashion,iOS
31,1393747789,Sports,iOS
36,1393747957,Sports,android
42,1393747961,Games,android
35,1393747969,Technology,iOS
38,1393747975,Games,android
36,1393747987,Environment,iOS
36,1393748103,Fashion,iOS
55,1393748114,Environment,iOS
35,1393748433,Sports,iOS
38,1393748510,Fashion,iOS
57,1393748940,Sports,iOS
22,1393749197,Environment,android
48,1393749289,Technology,iOS
34,1393749412,Games,iOS
46,1393749480,Sports,iOS
27,1393749568,Fashion,iOS
52,1393749636,Games,iOS
35,1393749749,Games,android
43,1393749905,Environment,iOS
52,1393749934,Environment,iOS
54,1393750144,Fashion,iOS
50,1393750436,Fashion,android
1,1393750653,Fashion,iOS
37,1393751245,Sports,iOS
28,1393751453,Fashion,iOS
41,1393751531,Games,iOS
63,1393751684,Games,iOS
19,1393751941,Environment,iOS
50,1393752536,Environment,android
18,1393752541,Environment,iOS
47,1393752572,Environment,iOS
30,1393752579,Environment,iOS
50,1393752592,Sports,android
46,1393752658,Sports,iOS
53,1393752701,Technology,iOS
61,1393752921,Environment,iOS
34,1393752955,Sports,iOS
41,1393752984,Technology,iOS
47,1393753030,Environment,android
36,1393753218,Environment,iOS
53,1393753300,Fashion,iOS
28,1393753427,Fashion,android
62,1393753472,Games,android
47,1393753494,Environment,iOS
22,1393753854,Environment,iOS
37,1393754232,Sports,android
22,1393754433,Fashion,iOS
22,1393754449,Sports,android
41,1393754537,Environment,iOS
50,1393754702,Games,android
53,1393754772,Fashion,android
32,1393755332,Fashion,android
24,1393755583,Technology,iOS
45,1393755731,Games,iOS
40,1393756099,Fashion,iOS
52,1393756141,Technology,iOS
22,1393756156,Sports,iOS
40,1393756494,Technology,android
60,1393756497,Fashion,iOS
11,1393756570,Environment,iOS
59,1393756665,Fashion,iOS
27,1393756892,Games,android
61,1393756902,Games,android
35,1393756974,Environment,android
49,1393757081,Sports,iOS
42,1393757111,Environment,android
4,1393757135,Environment,android
46,1393757192,Sports,iOS
30,1393757196,Environment,iOS
17,1393757276,Sports,android
34,1393757411,Games,android
34,1393757784,Fashion,iOS
44,1393758123,Fashion,android
45,1393758147,Environment,android
40,1393758316,Sports,iOS
41,1393758373,Games,iOS
73,1393758394,Games,android
22,1393758482,Technology,iOS
